type,pid,tid,splits,missing,overlaps,sequence_diff
old_vs_fixed,p53,t2,0.022375215146299483,0.0034423407917383822,0.9741824440619621,0.8222506393861893
old_vs_fixed,p69,t2,0.01981981981981982,0.012612612612612612,0.9675675675675676,0.8223214285714285
old_vs_fixed,p31,t3,0.008641975308641974,0.003703703703703704,0.9876543209876543,0.8227383863080685
old_vs_fixed,p45,t2,0.003976143141153081,0.003976143141153081,0.9920477137176938,0.8227722772277227
old_vs_fixed,p44,t1,0.0,0.005535055350553505,0.9944649446494465,0.8228782287822878
old_vs_fixed,p28,t1,0.0076726342710997444,0.0025575447570332483,0.989769820971867,0.8229695431472082
old_vs_fixed,p20,t1,0.006024096385542169,0.007028112449799197,0.9869477911646586,0.8232931726907631
old_vs_fixed,p29,t1,0.022790055248618785,0.004143646408839779,0.9730662983425414,0.8236101578586136
old_vs_fixed,p47,t1,0.005842259006815969,0.0,0.994157740993184,0.824298160696999
old_vs_fixed,p26,t2,0.01142263759086189,0.0010384215991692627,0.9875389408099688,0.8244626407369499
old_vs_fixed,p76,t2,0.007312614259597806,0.0018281535648994515,0.9908592321755028,0.8245454545454546
old_vs_fixed,p59,t3,0.002677376171352075,0.0013386880856760374,0.9959839357429718,0.8249336870026526
old_vs_fixed,p20,t4,0.005925925925925926,0.0044444444444444444,0.9896296296296296,0.8252212389380531
old_vs_fixed,p10,t4,0.0,0.0,1.0,0.8266666666666667
old_vs_fixed,p56,t3,0.007033997655334115,0.0,0.9929660023446659,0.8273464658169177
old_vs_fixed,p56,t1,0.0020554984583761563,0.0020554984583761563,0.9958890030832477,0.8274291497975709
old_vs_fixed,p35,t2,0.008583690987124463,0.002145922746781116,0.9892703862660944,0.8276231263383298
old_vs_fixed,p55,t2,0.0034562211981566822,0.008064516129032258,0.988479262672811,0.8277649769585254
old_vs_fixed,p29,t2,0.03629469122426869,0.0016251354279523294,0.962080173347779,0.8277689454160042
old_vs_fixed,p14,t4,0.0,0.0022471910112359553,0.9977528089887641,0.8280898876404494
old_vs_fixed,p53,t3,0.015544041450777202,0.004145077720207254,0.9803108808290155,0.828365878725591
old_vs_fixed,p50,t2,0.0016806722689075631,0.0,0.9983193277310924,0.8283828382838284
old_vs_fixed,p68,t1,0.0,0.0010683760683760685,0.9989316239316239,0.828556263269639
old_vs_fixed,p93,t2,0.0,0.02857142857142857,0.9714285714285714,0.8285714285714286
old_vs_fixed,p47,t3,0.00228310502283105,0.0,0.997716894977169,0.8287671232876712
old_vs_fixed,p50,t1,0.0037105751391465678,0.0009276437847866419,0.9953617810760668,0.8294930875576036
old_vs_fixed,p16,t2,0.0037243947858473,0.00186219739292365,0.994413407821229,0.8297773654916512
old_vs_fixed,p40,t2,0.0029850746268656717,0.0,0.9970149253731343,0.8298507462686567
old_vs_fixed,p25,t2,0.013171225937183385,0.002026342451874367,0.9848024316109423,0.8301507537688442
old_vs_fixed,p73,t3,0.0012594458438287153,0.0012594458438287153,0.9974811083123426,0.8312342569269522
old_vs_fixed,p30,t4,0.006493506493506494,0.012987012987012988,0.9805194805194806,0.83125
old_vs_fixed,p104,t2,0.009216589861751152,0.0,0.9907834101382489,0.8317972350230415
old_vs_fixed,p33,t3,0.00463678516228748,0.0015455950540958269,0.9938176197836167,0.8323053199691596
old_vs_fixed,p31,t1,0.006567164179104477,0.0023880597014925373,0.991044776119403,0.8327412670219064
old_vs_fixed,p90,t4,0.0125,0.003125,0.984375,0.8328220858895705
old_vs_fixed,p77,t3,0.0038363171355498722,0.00319693094629156,0.9929667519181585,0.8331202046035806
old_vs_fixed,p54,t2,0.0034924330616996507,0.004656577415599534,0.9918509895227008,0.8335273573923166
old_vs_fixed,p105,t3,0.0,0.0,1.0,0.8350515463917526
old_vs_fixed,p37,t4,0.011049723756906077,0.011049723756906077,0.9779005524861878,0.8351063829787234
old_vs_fixed,p14,t2,0.0017064846416382253,0.0034129692832764505,0.9948805460750854,0.8356047700170358
old_vs_fixed,p107,t1,0.013245033112582781,0.002207505518763797,0.9845474613686535,0.8362255965292842
old_vs_fixed,p70,t1,0.013377926421404682,0.002229654403567447,0.9843924191750278,0.8370044052863436
old_vs_fixed,p10,t3,0.002770083102493075,0.002770083102493075,0.9944598337950139,0.8370165745856354
old_vs_fixed,p33,t4,0.007322175732217573,0.0,0.9926778242677824,0.8373305526590198
old_vs_fixed,p41,t1,0.01237842617152962,0.005305039787798408,0.982316534040672,0.8374340949033392
old_vs_fixed,p86,t3,0.0,0.0,1.0,0.8379629629629629
old_vs_fixed,p33,t2,0.004103967168262654,0.0006839945280437756,0.9952120383036935,0.8382152588555858
